group	ret	mz	EC_022024	adduct	neutralMass
M433_R495_1602	495.109	433.230533819973	259.5	[M-H]-	433.230533819973
M433_R639_1604	639.245	433.300915334061	1580	[M-H]-	433.300915334061
M433_R788_1605	788.111	433.308540063935	313	[M-H]-	433.308540063935
M434_R185_1606	184.789	433.645758515859	324	[M-H]-	433.645758515859
M434_R893_1607	892.935	433.776921961723	914	[M-H]-	433.776921961723
M434_R381_1609	380.649	433.993815078213	455.5	[M-H]-	433.993815078213
M434_R201_1612	201.306	434.104457057591	288.5	[M-H]-	434.104457057591
M434_R632_1613	632.43	434.240423614824	51364	[M-H]-	434.240423614824
M434_R773_1614	772.714	434.309348343488	1226	[M-H]-	434.309348343488
M434_R868_1615	868.2195	434.281476428347	3700.5	[M-H]-	434.281476428347
M434_R200_1616	199.804	434.186283298218	268.5	[M-H]-	434.186283298218
M434_R643_1617	643.336	434.29941741577	2288	[M-H]-	434.29941741577
M435_R891_1618	891.072	434.774247668231	455.5	[M-H]-	434.774247668231
M435_R201_1620	201.306	435.12120722235	177	[M-H]-	435.12120722235
M435_R661_1622	660.805	435.243833070544	4115	[M-H]-	435.243833070544
M435_R853_1624	853.389	435.300291976493	2417	[M-H]-	435.300291976493
M435_R643_1625	643.336	435.300775334956	1183	[M-H]-	435.300775334956
M436_R185_1626	184.789	435.642889137406	376	[M-H]-	435.642889137406
M436_R210_1629	210.315	436.106267791497	380.5	[M-H]-	436.106267791497
M436_R662_1630	662.108	436.255888291493	29514	[M-H]-	436.255888291493
M436_R216_1632	216.322	436.200464321684	664	[M-H]-	436.200464321684
M436_R641_1634	640.609	436.314868613448	911.5	[M-H]-	436.314868613448
M436_R704_1635	703.788	436.299956015247	6230	[M-H]-	436.299956015247
M437_R891_1636	891.072	436.77351339863	329	[M-H]-	436.77351339863
M437_R227_1638	226.833	437.088111680333	187	[M-H]-	437.088111680333
M437_R722_1639	721.8955	437.154399055559	28724	[M-H]-	437.154399055559
M437_R647_1640	647.299	437.264851584618	300	[M-H]-	437.264851584618
M437_R331_1641	331.122	437.24242234201	1415	[M-H]-	437.24242234201
M437_R205_1642	205.061	437.194123973581	438	[M-H]-	437.194123973581
M437_R850_1643	849.689	437.287344887133	334378	[M-H]-	437.287344887133
M437_R700_1644	699.88	437.302842223976	2043	[M-H]-	437.302842223976
M438_R185_1645	184.789	437.63984673167	248.5	[M-H]-	437.63984673167
M438_R890_1646	890.452	437.77338889635	865.5	[M-H]-	437.77338889635
M438_R255_1648	255.365	437.997177144027	367	[M-H]-	437.997177144027
M438_R539_1649	539.352	438.141207436545	365	[M-H]-	438.141207436545
M438_R718_1650	718.116	438.239899044192	8354	[M-H]-	438.239899044192
M438_R828_1651	827.9785	438.260998344891	1446	[M-H]-	438.260998344891
M438_R615_1652	614.718	438.250825258607	2680	[M-H]-	438.250825258607
M438_R398_1653	397.626	438.226824139859	425	[M-H]-	438.226824139859
M438_R331_1654	331.122	438.245466241718	425	[M-H]-	438.245466241718
M438_R207_1655	207.313	438.234559636394	954	[M-H]-	438.234559636394
M438_R491_1656	491.205	438.204836296038	428.5	[M-H]-	438.204836296038
M438_R848_1657	848.455	438.292215272264	100168	[M-H]-	438.292215272264
M438_R348_1658	348.102	438.295612849911	484	[M-H]-	438.295612849911
M439_R892_1659	891.694	438.779782221908	895	[M-H]-	438.779782221908
M439_R791_1662	791.1875	439.26933795308	7406	[M-H]-	439.26933795308
M439_R701_1663	700.5295	439.250440142625	3370	[M-H]-	439.250440142625
M439_R615_1664	614.718	439.250440240498	864.5	[M-H]-	439.250440240498
M439_R381_1665	380.649	439.258070796172	418	[M-H]-	439.258070796172
M439_R852_1666	851.539	439.315124815064	301	[M-H]-	439.315124815064
M439_R347_1667	346.688	439.298538878374	167	[M-H]-	439.298538878374
M440_R274_1669	273.86	439.974348215022	426	[M-H]-	439.974348215022
M440_R564_1670	564.0935	440.128083390497	123	[M-H]-	440.128083390497
M440_R338_1671	338.198	440.251593836765	1300	[M-H]-	440.251593836765
M440_R399_1672	399.043	440.192942770746	338.5	[M-H]-	440.192942770746
M440_R215_1673	214.819	440.20460536743	452	[M-H]-	440.20460536743
M440_R719_1674	718.765	440.2427808937	25677	[M-H]-	440.2427808937
M440_R608_1675	607.906	440.220393257457	980	[M-H]-	440.220393257457
M440_R858_1676	857.7035	440.325899091485	15671	[M-H]-	440.325899091485
M441_R890_1677	890.452	440.766186062329	285.5	[M-H]-	440.766186062329
M441_R892_1678	891.694	440.783849203339	589	[M-H]-	440.783849203339
M441_R204_1680	204.311	441.135416762802	125	[M-H]-	441.135416762802
M441_R725_1681	725.2775	441.246656863482	6465.5	[M-H]-	441.246656863482
M441_R630_1683	629.705	441.284696982481	430	[M-H]-	441.284696982481
M441_R852_1684	852.156	441.320367202151	391	[M-H]-	441.320367202151
M442_R892_1685	891.694	441.775907303817	737	[M-H]-	441.775907303817
M442_R406_1686	406.117	442.001742082276	1427.5	[M-H]-	442.001742082276
M442_R135_1687	135.272	442.026816651095	204	[M-H]-	442.026816651095
M442_R200_1688	199.804	442.127668450996	239	[M-H]-	442.127668450996
M442_R637_1689	636.518	442.235606573343	189	[M-H]-	442.235606573343
M442_R781_1690	780.718	442.244291920392	1630	[M-H]-	442.244291920392
M442_R204_1692	204.311	442.216793251768	645	[M-H]-	442.216793251768
M442_R878_1693	878.052	442.341944151791	12467	[M-H]-	442.341944151791
M442_R791_1694	790.575	442.31476222173	1098.5	[M-H]-	442.31476222173
M443_R890_1695	890.45	442.77236635459	243	[M-H]-	442.77236635459
M443_R134_1696	133.77	443.0340560832	278.5	[M-H]-	443.0340560832
M443_R783_1697	783.183	443.275067029968	3130.5	[M-H]-	443.275067029968
M443_R890_1698	890.452	443.272272906333	224	[M-H]-	443.272272906333
M443_R254_1699	253.863	443.22569595729	3558	[M-H]-	443.22569595729
