mz,ret,int,mod,kmd,HS_num
652.429647959676,716.813,26753,2.471164239676,-0.471322085983275,190
852.418714531821,688.154,979,2.47300505182102,-0.473163015710611,190
602.463944859282,759.793,2651,2.50226757928203,0.497572587676245,192
552.47138143917,641.973,854,2.50651059917004,0.493329296764159,192
702.472062760502,881.766,965.5,2.51677260050201,0.483066639944013,194
752.469164721249,783.7985,5016.5,2.51706812124894,0.48277110032052,194
902.460462003365,214.819,1350,2.51794608336502,0.481893082124429,194
602.510736031297,895.071,14300.5,2.54905875129703,0.45077842686203,197
752.513112227212,895.412,1240.5,2.56101562721199,0.438820787198324,198
802.510151401476,870.648,2142,2.56124836147603,0.438588038068247,198
902.519097527832,848.455,832,2.57658160783194,0.423253812297048,200
702.535003039613,985.462,4827.5,2.579712879613,0.420122340504918,200
852.526095795109,884.242,8230,2.58038631510897,0.419448861993146,200
952.524119180045,850.922,540.5,2.58479682004497,0.415038075335019,203
802.540290976565,892.308,15792,2.59138793656496,0.408446537805503,204
652.567813867393,839.8305,20896.5,2.60933014739305,0.390503180913697,205
952.556255961956,632.43,667,2.61693360195602,0.382899240677943,206
902.56369761526,890.452,50441,2.62118169526002,0.378650876025858,206
1052.56095161301,322.633,9035,2.62801637301004,0.371815761708831,208
802.584759233556,789.343,10494,2.63585619355604,0.363975440392096,209
852.593885208632,887.966,922,2.64817572863194,0.351655118402391,210
852.599156429058,800.426,10773,2.65344694905798,0.346383561275616,211
1002.61996104763,806.582,3759.5,2.68383224762999,0.315996321834177,212
1052.62244541724,452.231,1209,2.68951017723998,0.310318029544987,213
1052.63372204126,633.793,3168,2.70078680125994,0.29904068522751,214
1052.63763060741,797.964,2430,2.70469536741007,0.295131869416537,214
752.657210768693,886.496,6545,2.70511416869294,0.294713041382693,214
1152.67163744337,694.669,1856,2.74508932336994,0.25473533328136,217
1052.6828267984,821.356,5541,2.7498915583999,0.24993279150749,217
1002.69478884346,890.452,1802.5,2.75866004345994,0.24116374635787,219
402.95242086375,294.84,5368.5,2.97796934374998,0.0218404376249737,220
203.031862977468,204.311,1452,3.04463721746799,-0.044831694522145,221
353.02692584121,201.306,2185.5,3.04928076121001,-0.0494755348718172,221
203.159143528399,264.37,775,3.171917768399,-0.172120375533922,223
453.174301490804,794.1245,16774,3.203043530804,-0.203248126105677,224
403.194348946075,219.324,609,3.21989742607502,-0.220103097924039,225
253.210479811541,599.733,2285.5,3.226447611541,-0.226653701784926,226
353.226620076892,243.358,1884.5,3.248974996892,-0.249182526078926,227
403.243003953742,719.417,2099.5,3.268552433742,-0.268761213443213,228
553.242466186703,193.797,4124,3.27759534670304,-0.277804704022856,229
753.23684265227,459.605,705,3.28474605226995,-0.284955866343125,230
503.259766114253,637.883,2303,3.29170171425301,-0.291911972620994,231
503.266611494789,742.501,2957,3.298547094789,-0.298757790407592,232
603.263393989178,616.081,1043,3.30171670917798,-0.30192760725663,232
553.277114261874,682.943,45962.5,3.31224342187397,-0.312454992349217,234
653.275959543159,198.302,1479,3.31747582315904,-0.3176877278554,235
703.281876910275,193.797,2516.5,3.32658675027494,-0.326799236934335,236
453.299676136704,880.527,10794,3.32841817670402,-0.328630780346316,236
503.296694896598,826.279,13434.5,3.32863049659801,-0.328843113802293,236
503.297575512711,423.0885,3973,3.32951111271097,-0.329723786164834,236
453.314473217758,403.288,1627,3.343215257758,-0.343428806567999,240
503.317252110113,680.339,1250.5,3.34918771011297,-0.34940164041501,241
603.323004038862,689.458,10245,3.36132675886199,-0.361541464549191,242
553.333592208736,811.509,1993,3.36872136873603,-0.368936546756004,243
703.342502666158,542.606,1257,3.38721250615799,-0.387428865304514,244
653.352490438556,639.245,1160,3.39400671855594,-0.394223511684686,245
703.34948428439,632.4315,1043,3.39419412438997,-0.394410929489254,245
653.361163185325,786.2625,2569.5,3.40267946532504,-0.402896812427912,247
